£||#||#||———
name||set||set_code||id||type||power||toughness||loyalty||manacost||converted_manacost||artist||flavor||color||generated_mana||number||rarity||rating||ruling||variation||ability||pricing_low||pricing_mid||pricing_high||watermark||print_number||is_original||back_id||number_int||name_CN||name_TW||name_FR||name_DE||name_IT||name_JP||name_PT||name_RU||name_ES||name_KO||type_CN||type_TW||type_FR||type_DE||type_IT||type_JP||type_PT||type_RU||type_ES||type_KO||ability_CN||ability_TW||ability_FR||ability_DE||ability_IT||ability_JP||ability_PT||ability_RU||ability_ES||ability_KO||flavor_CN||flavor_TW||flavor_FR||flavor_DE||flavor_IT||flavor_JP||flavor_PT||flavor_RU||flavor_ES||flavor_KO||color_identity||fully_handled||custom_sort||legality_Block||legality_Standard||legality_Modern||legality_Legacy||legality_Vintage||legality_Highlander||legality_French_Commander||legality_Tiny_Leaders_Commander||legality_Leviathan_Commander||legality_Commander||legality_Peasant||legality_Pauper||
263
Aggravated Assault||Masterpiece Series: Amonkhet Invocations||AKHM||429884||Enchantment||||||||{2}{R}||3||Greg Opalinski||||R||||25||T||5||£10/4/2004 : If you have enough mana, the ability may be activated more than once in a turn.£10/4/2004 : You will normally use this during your post-combat main phase so you can untap any creatures that attacked.||||{3}{R}{R}: Untap all creatures you control. After this main phase, there is an additional combat phase followed by an additional main phase. Activate this ability only any time you could cast a sorcery.||||||||||||||||25||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Armageddon||Masterpiece Series: Amonkhet Invocations||AKHM||430666||Sorcery||||||||{3}{W}||4||Florian de Gesincourt||||W||||31||T||5||||||Destroy all lands.||||||||||||||||31||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Attrition||Masterpiece Series: Amonkhet Invocations||AKHM||429878||Enchantment||||||||{1}{B}{B}||3||Jose Cabrera||||B||||19||T||5||||||{B}, Sacrifice a creature: Destroy target nonblack creature.||||||||||||||||19||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Austere Command||Masterpiece Series: Amonkhet Invocations||AKHM||429860||Sorcery||||||||{4}{W}{W}||6||Richard Wright||||W||||1||T||5||£10/1/2007 : If the first and third modes are chosen, an artifact creature with converted mana cost 3 or less would be destroyed twice by this spell. It would have to be regenerated twice to survive. (A similar thing happens with most of the other combinations.)||||Choose two —£• Destroy all artifacts.£• Destroy all enchantments.£• Destroy all creatures with converted mana cost 3 or less.£• Destroy all creatures with converted mana cost 4 or greater.||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Avatar of Woe||Masterpiece Series: Amonkhet Invocations||AKHM||430673||Creature — Avatar||6||5||||{6}{B}{B}||8||Igor Kieryluk||||B||||38||T||5||£10/4/2004 : The converted mana cost of this card is still 8, even if you only pay {B}{B} to cast it.||||If there are ten or more creature cards total in all graveyards, Avatar of Woe costs {6} less to cast.£Fear #(This creature can't be blocked except by artifact creatures and/or black creatures.)#£{T}: Destroy target creature. It can't be regenerated.||||||||||||||||38||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Aven Mindcensor||Masterpiece Series: Amonkhet Invocations||AKHM||429861||Creature — Bird Wizard||2||1||||{2}{W}||3||Jose Cabrera||||W||||2||T||5||£4/18/2017 : Each search works exactly the same as normal except that the opponent doing the searching sees only the top four cards of that library. He or she can’t look at the other cards in that library at all. Cards not in the top four cards of the library can’t be found in the search, even if they’re identifiable in some manner.£4/18/2017 : For effects that check whether a player searched a library, searching the top four cards of that library counts as searching that library.£4/18/2017 : If an effect uses the word “search” once but allows an opponent to search for multiple cards, the top four cards remain the same throughout the entire search. Finding one card won’t cause the fifth card to be included in the search.£4/18/2017 : After the search is complete, the entire library is shuffled.||||Flash£Flying£If an opponent would search a library, that player searches the top four cards of that library instead.||||||||||||||||2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Blood Moon||Masterpiece Series: Amonkhet Invocations||AKHM||430681||Enchantment||||||||{2}{R}||3||Christine Choi||||R||||46||T||5||£3/14/2017 : Nonbasic lands will lose any other land types and abilities they had. They will gain the land type Mountain and gain the ability “{T}: Add {R} to your mana pool.”£3/14/2017 : Blood Moon’s effect doesn’t affect names or supertypes. It won’t turn any land into a basic land or remove the legendary supertype from a legendary land, and the lands won’t be named “Mountain.”£3/14/2017 : If a nonbasic land has an ability that causes it to enter the battlefield tapped, that ability will still function. For example, if Blood Crypt is entering the battlefield, its controller may pay 2 life to have it enter untapped. Regardless of this choice, it will be only a Mountain and not a Swamp. The same is also true of any other abilities that modify how a land enters the battlefield or apply “as” a land enters the battlefield, such as the first ability of Cavern of Souls.£3/14/2017 : If a nonbasic land has an ability that triggers “when” it enters the battlefield, it will lose that ability before it triggers.||||Nonbasic lands are Mountains.||||||||||||||||46||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Boil||Masterpiece Series: Amonkhet Invocations||AKHM||430682||Instant||||||||{3}{R}||4||Philip Straub||||R||||47||T||5||||||Destroy all Islands.||||||||||||||||47||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Bontu the Glorified||Masterpiece Series: Amonkhet Invocations||AKHM||429879||Legendary Creature — God||4||6||||{2}{B}||3||Daniel Ljunggren||||B||||20||T||5||£4/18/2017 : The creature that died doesn’t have to still be in its owner’s graveyard to satisfy Bontu’s combat restriction.£4/18/2017 : Creature tokens that die are put into your graveyard as normal (and cease to exist soon after). If one died this turn, it satisfies Bontu’s combat restriction.£4/18/2017 : All attackers are chosen at once. You can’t attack with one, sacrifice it to satisfy Bontu’s combat restriction, and then attack with Bontu.£4/18/2017 : In a Two-Headed Giant game, Bontu’s activated ability causes the opposing team to lose 2 life and you gain 1 life.||||Menace, indestructible£Bontu the Glorified can't attack or block unless a creature died under your control this turn.£{1}{B}, Sacrifice another creature: Scry 1. Each opponent loses 1 life and you gain 1 life.||||||||||||||||20||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
