id;academie;nom;sigle;status;domaine;ville
1;Aix-Marseille;École centrale de Marseille;Centrale Marseille;public;G;13 - Marseille
2;Aix-Marseille;École polytechnique universitaire de Marseille;Polytech Marseille;public;G;13 - Marseille
3;Aix-Marseille;École de l'air;;public;Mili;13 - Salon-de-Provence
4;Aix-Marseille;Institut supérieur du bâtiment et des travaux publics;;public;GC;13 - Marseille
5;Amiens;Université de technologie de Compiègne;UTC;public;G;60 - Compiègne
6;Amiens;École supérieure de chimie organique et minérale;ESCOM;privé;C;60 - Compiègne
7;Amiens;Institut polytechnique UniLaSalle;;privé;AAA;60 - Beauvais
8;Amiens;École supérieure d'ingénieurs en électronique et électrotechnique d'Amiens;ESIEE Amiens;public;EEA;80 Amiens
9;Amiens;École d'ingénieurs des sciences aérospatiales;ELISA Aerospace;privé;AT;02 - Saint-Quentin
10;Besançon;École nationale supérieure de mécanique et des microtechniques;ENSMM;public;MP;25 - Besançon
11;Besançon;Université de technologie de Belfort-Montbéliard;UTBM;public;G;90 - Belfort
12;Besançon;Institut supérieur d'ingénieurs de Franche-Comté;ISIFC;public;B;25 - Besançon
13;Bordeaux;École nationale supérieure de chimie, de biologie et de physique;ENSCBP;public;C;33 - Pessac
14;Bordeaux;École nationale supérieure d'électronique, informatique, télécommunications, mathématiques et mécanique de Bordeaux;ENSEIRB-MATMECA;public;G;33 - Talence
15;Bordeaux;École nationale supérieure de technologie des biomolécules de Bordeaux;ENSTBB;public;B;33 - Bordeaux
16;Bordeaux;École nationale supérieure de cognitique;;public;;33 - Talence
17;Bordeaux;École nationale supérieure en environnement, géoressources et ingénierie du développement durable;ENSEGID;public;E;33 - Pessac
18;Bordeaux;École nationale supérieure en génie des technologies industrielles;ENSGTI;public;C;64 - Pau
19;Bordeaux;Institut supérieur aquitain du bâtiment et des travaux publics;ISA BTP;public;GC;64 - Anglet
20;Bordeaux;École nationale supérieure des sciences agronomiques de Bordeaux Aquitaine;Bordeaux Sciences Agro;public;AAA;33 - Gradignan
21;Bordeaux;École supérieure des technologies industrielles avancées;ESTIA;public;G;64 - Bayonne
22;Caen;École nationale supérieure d'ingénieurs de Caen;ENSICAEN;public;G;14 - caen
23;Caen;École d'ingénieurs de l'université de Caen (ESIX Normandie);ESIX Normandie;public;G;14 - Caen
24;Caen;École supérieure d'ingénieurs des travaux de la construction de Caen;ESITC;privé;GC;14 - Epron
25;Clermont-Ferrand;École d'ingénieurs SIGMA Clermont;;public;;63 - Aubière
26;Clermont-Ferrand;École polytechnique universitaire de l'Université Clermont-Auvergne;Polytech Clermont-Ferrand;public;GC;63 - Aubière
27;Clermont-Ferrand;Institut d'informatique d'Auvergne;ISIMA;public;IMA;63 - Aubière
28;Corse;École d'ingénieurs Paoli Tech;;public;;20 - Corte
29;Dijon;École supérieure d'ingénieurs de recherche en matériaux;ESIREM;public;G;21 - Dijon
30;Dijon;Institut supérieur de l'automobile et des transports de Nevers;ISAT;public;AT;58 - Nevers
31;Dijon;UFR Sciences et techniques de l’université de Dijon;;public;;89 - Auxerre
32;Dijon;Institut national supérieur des sciences agronomiques, de l'alimentation et de l'environnement;Agrosup Dijon;public;AAA;21 - Dijon
33;Grenoble;Institut polytechnique de Grenoble;Grenoble INP;public;;38 - Grenoble
34;Grenoble;École nationale supérieure de l'énergie, l'eau et l'environnement;ENSE3;public;E;38 - Saint-Martin-d’Hères
35;Grenoble;École nationale supérieure de génie industriel;ENSGI;public;MP;38 - Grenoble
36;Grenoble;École nationale supérieure d'informatique et de mathématiques appliquées;ENSIMAG;public;IMA;38 - Saint-Martin-d’Hères
37;Grenoble;École nationale supérieure de physique, électronique, matériaux;Grenoble INP - Phelma;public;EEA/M/PATO;38 - Grenoble
38;Grenoble;École nationale supérieure en systèmes avancés et réseaux;ESISAR;public;EEA/IMA;26 - Valence
39;Grenoble;École internationale du papier, de la communication imprimée et des biomatériaux;PAGORA;public;M;38 - Saint-Martin-d’Hères
